id,date,bedrooms,sqft_lot,level
6762700020,2014-10-13,6,27600,high_standard
9808700762,2014-06-11,5,37325,high_standard
9208900037,2014-09-19,6,31374,high_standard
2470100110,2014-08-04,5,35069,high_standard
8907500070,2015-04-13,5,23985,high_standard
7558700030,2015-04-13,6,24829,high_standard
1247600105,2014-10-20,5,45517,high_standard
1924059029,2014-06-17,5,13068,high_standard
7738500731,2014-08-15,5,40014,high_standard
3835500195,2014-06-18,4,27517,high_standard
6065300370,2015-05-06,5,21540,high_standard
6447300265,2014-10-14,4,16573,high_standard
8106100105,2014-11-14,4,21300,high_standard
2303900100,2014-09-11,3,35000,high_standard
853200010,2014-07-01,5,42840,high_standard
7397300170,2014-05-30,4,28078,high_standard
4217402115,2015-04-21,6,19401,high_standard
4389201095,2015-05-11,5,8694,high_standard
2425049063,2014-09-11,4,22257,high_standard
3625049042,2014-10-11,5,19897,high_standard
4114601570,2014-11-18,3,12431,high_standard
9253900271,2015-01-07,5,10584,high_standard
2525049148,2014-10-07,5,20412,high_standard
9362000040,2014-06-23,3,17826,high_standard
1118000320,2015-05-08,4,11765,high_standard
3126059023,2015-03-03,4,47870,high_standard
9808100150,2015-04-02,5,15360,high_standard
3625059152,2014-12-30,3,41300,high_standard
1346300150,2014-10-20,8,11750,high_standard
3625059043,2014-09-04,5,13873,high_standard
6072800246,2014-07-02,5,21738,high_standard
7524900003,2014-12-10,2,10000,high_standard
251500080,2014-08-26,4,18851,high_standard
1068000375,2014-09-23,6,18200,high_standard
624069108,2014-08-12,4,28206,high_standard
8964800890,2015-01-09,3,13363,high_standard
7159200005,2014-05-07,7,8856,high_standard
3025059124,2014-08-28,5,11979,high_standard
333100295,2014-11-24,3,56609,high_standard
2424049029,2014-05-29,6,15682,high_standard
4131900066,2014-08-25,3,13085,high_standard
3025059093,2014-07-29,5,23669,high_standard
3225069065,2014-06-24,4,18641,high_standard
3760500116,2014-11-20,3,55867,high_standard
1732800780,2015-02-12,5,7500,high_standard
1118000340,2015-04-08,5,11265,high_standard
3761100045,2014-06-18,4,12445,high_standard
518500480,2014-08-11,3,10756,high_standard
8964800330,2015-04-07,4,14823,high_standard
9808100100,2015-02-02,5,14091,high_standard
1925059254,2015-05-07,5,16481,high_standard
3303850390,2014-12-12,5,18898,high_standard
1370800515,2014-10-30,4,5884,high_standard
3625049014,2014-08-29,4,23885,high_standard
2524049166,2014-09-18,5,47480,high_standard
6613000930,2014-09-02,4,25470,high_standard
1176001310,2015-03-04,5,5722,high_standard
5317100750,2014-07-11,4,24085,high_standard
2624049091,2015-03-13,5,91681,high_standard
7960900060,2015-05-04,4,20100,high_standard
6447300365,2014-11-13,5,14600,high_standard
7159200040,2014-09-17,4,4838,high_standard
1118000301,2014-12-19,4,7173,high_standard
2303900035,2014-06-11,5,64033,high_standard
5316101075,2014-09-26,7,14400,high_standard
2303900090,2014-07-29,4,32033,high_standard
6065300840,2015-05-01,4,17208,high_standard
1069000070,2015-04-15,5,12793,high_standard
7397300220,2014-05-29,4,21000,high_standard
3859900060,2015-01-12,5,16065,high_standard
624069035,2014-12-09,4,5575,high_standard
5249800010,2014-12-03,4,43838,high_standard
2525049086,2014-10-03,4,18115,high_standard
8043700300,2014-06-08,4,7850,high_standard
625059036,2014-08-13,5,27295,high_standard
5442300807,2014-06-24,5,13800,high_standard
2524069078,2015-01-22,4,89651,high_standard
856000195,2014-05-21,5,8401,high_standard
2525049263,2014-07-09,5,20445,high_standard
3126059027,2015-03-18,4,13730,high_standard
8084900160,2015-02-12,5,16200,high_standard
2397101606,2014-12-08,6,7200,high_standard
2923500230,2014-12-16,4,12195,high_standard
3623500408,2015-03-30,3,16015,high_standard
7768700300,2014-12-05,4,15408,high_standard
2260300060,2015-04-10,5,20440,high_standard
5316100780,2014-09-22,4,3800,high_standard
825059178,2014-09-23,4,20424,high_standard
6613000935,2014-05-13,4,26211,high_standard
1954700410,2014-08-01,4,8805,high_standard
1118001408,2014-11-24,5,13431,high_standard
9185700485,2015-04-01,4,6000,high_standard
9471200370,2015-03-30,4,20000,high_standard
7490000040,2014-07-18,5,10626,high_standard
9471200200,2015-03-25,4,16048,high_standard
3377900195,2014-09-29,4,45100,high_standard
7631800015,2015-04-07,3,57990,high_standard
5700003585,2014-12-29,5,12672,high_standard
3025300095,2014-10-09,4,19844,high_standard
9471200265,2015-05-05,4,16224,high_standard
6072800170,2015-04-28,4,24354,high_standard
4107100190,2015-03-24,4,14850,high_standard
1324049015,2014-11-11,4,23954,high_standard
4139420190,2015-05-12,4,16909,high_standard
9831200500,2015-03-04,5,7500,high_standard
1176001293,2014-06-17,3,4947,high_standard
1118002000,2014-06-24,5,13180,high_standard
3262300555,2014-07-08,4,14986,high_standard
